id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia
4621	The Korean Audiological Society	199	3	1.50753768844221
2086	Beilstein Institut	3920	59	1.50510204081633
9376	University of South Australia Library	133	2	1.50375939849624
6821	Open Library of Humanities	2204	33	1.497277676951
2216	International Medical Press	1137	17	1.49516270888303
2059	MultiMed Inc.	2545	38	1.49312377210216
376	International Leprosy Association	134	2	1.49253731343284
10164	Open Library of the Humanities	2417	36	1.48944973107158
208	Universite du Quebec a Chicoutimi	7292	108	1.48107515085025
19	American Thoracic Society	52458	775	1.47737237408975
8232	Illinois Law Enforcement Training and Standards Board Executive Institute	68	1	1.47058823529412
7099	All-Russia Petroleum Research Exploration Institute (VNIGRI)	205	3	1.46341463414634
2249	Spandidos Publications	52446	765	1.458643175838
2694	Daedalus Enterprises	1994	29	1.4543630892678
7294	History of the Earth Sciences Society	688	10	1.45348837209302
3593	SF-TH, Inc.	620	9	1.45161290322581
2929	University of Toronto Medical Journal	69	1	1.44927536231884
4380	Journal of Biomedical Research	415	6	1.44578313253012
1183	Acta Dermato-Venereologica	5677	82	1.4444248722917
3268	Association for the Study of African American Life and History (ASALH)	762	11	1.44356955380577
3359	Oregon Historical Society	693	10	1.44300144300144
2443	Cleveland Clinic Journal of Medicine	6449	93	1.44208404403784
320	Association for Computing Machinery (ACM)	401175	5782	1.44126628030161
98	Hindawi Limited	181054	2606	1.43934958631127
3158	Indian Academy of Neurosciences	557	8	1.43626570915619
1931	Edinburgh University Press	42333	608	1.43623178135261
233	American Society of Clinical Oncology (ASCO)	65624	942	1.43545044495916
910	Mathematical Sciences Publishers	16931	243	1.43523713897584
6200	Association of Slovenian Dermatovenerologists	70	1	1.42857142857143
2506	The Korean Society of Applied Pharmacology	845	12	1.42011834319527
1080	Acarological Society of Japan	282	4	1.41843971631206
6966	ANPOCS	141	2	1.41843971631206
1911	Aerospace Medical Association	1976	28	1.417004048583
6436	Society of Biblical Literature/SBL Press	212	3	1.41509433962264
9641	Center for Korean History	71	1	1.40845070422535
147	Johns Hopkins University Press	279925	3928	1.40323300884165
264	IFIS Publishing	143	2	1.3986013986014
8223	Andrew John Publishing, Inc.	716	10	1.39664804469274
3146	Polish Urological Association	645	9	1.3953488372093
8722	The Open Journal	287	4	1.39372822299652
1949	Natural Areas Journal	718	10	1.39275766016713
