id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia
1355	Oceanside Publications Inc.	5314	67	1.26082047421904
297	Springer Nature	11640668	146741	1.26058916893773
6106	The Korean Society of Emergency Medicine	159	2	1.25786163522013
127	S. Karger AG	361738	4544	1.25615777164688
3666	Academy of Sciences and Arts of Bosnia and Herzegovina	559	7	1.25223613595707
2707	Central Fisheries Research Institute	880	11	1.25
3402	Asia Pacific Association of Allergy, Asthma, and Clinical Immunology (KAMJE)	240	3	1.25
4070	Biomedical Informatics	1681	21	1.24925639500297
2492	Max Planck Institute for Demographic Research	1205	15	1.2448132780083
7047	Botanical Research Institute of Texas	322	4	1.24223602484472
7877	PROQURAT Andrzej Prokurat	161	2	1.24223602484472
2653	AACE Corp (American Association of Clinical Endocrinologists)	3547	44	1.24048491683113
3797	The Korean Knee Society	324	4	1.23456790123457
6678	Food Technology and Biotechnology Journal	162	2	1.23456790123457
4626	Japanese Association of Sign Linguistics	81	1	1.23456790123457
5369	Food Safety Commission, Cabinet Office	81	1	1.23456790123457
9044	International Journal of Kurdish Studies	81	1	1.23456790123457
1901	Yonsei University College of Medicine (KAMJE)	4216	52	1.23339658444023
5826	Methodist DeBakey Cardiovascular Journal	650	8	1.23076923076923
1560	Indiana University Press	19705	242	1.22811469170261
4948	J. Michael Ryan Publishing	163	2	1.22699386503067
5829	Institute of Archaeology and Art History	163	2	1.22699386503067
27	Association for Research in Vision and Ophthalmology (ARVO)	38392	471	1.22681808710148
2350	Korean Society for Preventive Medicine	571	7	1.22591943957968
3551	Revista Brasileira de Hematologia e Hemoterapia (RBHH)	408	5	1.22549019607843
1049	American Roentgen Ray Society	31854	389	1.22119670998933
5226	Institute of Sociology of the Academy of Sciences of the Czech Republic	246	3	1.21951219512195
7465	Whioce Publishing Pte Ltd	246	3	1.21951219512195
326	Genetics Society of Japan	4186	51	1.21834687052078
75	Earthquake Engineering Research Institute	2299	28	1.21792083514572
7045	RFC Editor	8136	99	1.21681415929204
4442	University of Texas Press	904	11	1.21681415929204
2987	Stilus Optimus	247	3	1.21457489878543
1898	Korean Academy of Medical Sciences (KAMJE)	5275	64	1.21327014218009
332	Japanese Pharmacological Society	15179	184	1.21220106726398
3961	The Korean Society of Gastrointestinal Endoscopy	746	9	1.20643431635389
535	Competence Network Pediatric Oncology & Hematology	83	1	1.20481927710843
7325	PE Polunina Elizareta Gennadievna	83	1	1.20481927710843
239	BMJ	854031	10227	1.19749751472722
1636	Erdkunde	1922	23	1.19667013527575
438	Anthropological Society of Nippon	5606	67	1.19514805565466
199	Turpion-Moscow Limited	35918	429	1.19438721532379
2844	The Society of Laparoendoscopic Surgeons	1006	12	1.19284294234592
4288	Cambridge Medicine Journal	84	1	1.19047619047619
8306	Croatian Natural History Museum	84	1	1.19047619047619
10777	Florida International University	84	1	1.19047619047619
292	Royal Society of Chemistry (RSC)	524772	6218	1.18489553558498
7182	Harvard Education Publishing Group	1606	19	1.18306351183064
270	Journal of Marine Research/Yale	1268	15	1.18296529968454
4059	Korean Society of Plastic and Reconstructive Surgeons	931	11	1.18152524167562
2373	Departmento de Publicaciones del CSIC	28613	338	1.18128123580191
3533	The Geological Society of Japan	7707	91	1.18074477747502
2619	Atlantic Geology	1018	12	1.17878192534381
4748	Blay Publishers, LLC	85	1	1.17647058823529
5271	Indian Orthopaedic Research Group	85	1	1.17647058823529
8547	The Quantitative Methods for Psychology	171	2	1.16959064327485
4964	National Documentation Centre	11769	137	1.16407511258391
2257	Lawrence and Wishart	1031	12	1.1639185257032
3229	Scandinavian Journal of Work, Environment and Health	2752	32	1.16279069767442
3645	Association of Genuine Traditional Korean Medicine	172	2	1.16279069767442
7559	Journal of Latino/Latin American Studies	172	2	1.16279069767442
6216	Asian Business Consortium	86	1	1.16279069767442
8672	College of Communication and Public Relations	86	1	1.16279069767442
7437	IOS Press	32603	378	1.15940250897157
4423	Hanyang University College of Medicine (KAMJE)	259	3	1.15830115830116
992	Japanese Society for Biological Sciences in Space	435	5	1.14942528735632
2090	RTI Press	174	2	1.14942528735632
5902	The Science Museum	87	1	1.14942528735632
860	Society for Sedimentary Geology	13154	151	1.14793979017789
4708	The Permanente Press	1046	12	1.1472275334608
78	Elsevier BV	16095580	184306	1.14507212539095
4602	Royal College of Physicians	3500	40	1.14285714285714
4005	Japan Society for Comparative Endocrinology	789	9	1.14068441064639
1902	The Korean Association for the Study of the Liver	614	7	1.1400651465798
2250	Danish Chemical Society	16494	188	1.13980841518128
2328	Protein Structure Initiative Structural Biology Knowledgebase (PSI SBKB)	88	1	1.13636363636364
4486	Estonian Literary Museum of Scholarly Press	1764	20	1.13378684807256
10391	Medical Education	177	2	1.12994350282486
9266	The Bulletin of Zoological Nomenclature	621	7	1.12721417069243
2357	Society of Southwestern Entomologists	800	9	1.125
2572	The Sedimentological Society of Japan	445	5	1.12359550561798
1945	Japanese Society of Service Dog Research	89	1	1.12359550561798
3481	Korean Academy of Rehabilitation Medicine (KAMJE)	803	9	1.12079701120797
5777	VLDB Endowment	1963	22	1.1207335710647
7562	I-PC, LLC	357	4	1.12044817927171
3200	Historical Society of Pennsylvania	626	7	1.11821086261981
4187	North American Transplant Coordinators Organization (NATCO)	1074	12	1.11731843575419
266	IOP Publishing	775750	8658	1.11608121173058
4550	American Oriental Society	717	8	1.11576011157601
5105	Journal of Literature and Science	180	2	1.11111111111111
1656	Japanese Society for Extremophiles	90	1	1.11111111111111
4730	Energy Psychology Press	90	1	1.11111111111111
8394	OPUS	90	1	1.11111111111111
1155	Japanese Society of Fisheries Science	17043	189	1.10895969019539
426	Equinox Publishing	11383	126	1.10691381885268
1164	The Angle Orthodontist (EH Angle Education & Research Foundation)	1991	22	1.10497237569061
1667	Society of Exploration Geophysicists of Japan	362	4	1.10497237569061
2805	Papers in Physics	91	1	1.0989010989011
7620	Grapho, LLC	91	1	1.0989010989011
10823	Codex - Revista de Estudos Classicos	91	1	1.0989010989011
3214	The Charleston Co.	547	6	1.09689213893967
2151	Ecology and Civil Engineering Society	365	4	1.0958904109589
2516	SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT)	52681	577	1.09527154002392
3673	University of Illinois Press	10817	118	1.09087547379125
6100	Clujul Medical	367	4	1.08991825613079
9533	Places Journal	551	6	1.08892921960073
4025	Perspectivas Medicas da Faculdade de Medicine de Jundiai	92	1	1.08695652173913
6570	National Association of School Psychologists (NASP)	92	1	1.08695652173913
2156	Massage Therapy Foundation	185	2	1.08108108108108
5364	Society of Ethnobiology	278	3	1.07913669064748
10	American Medical Association (AMA)	593509	6403	1.07883789462333
2162	Foot and Ankle Online Journal	186	2	1.0752688172043
56	Cambridge University Press (CUP)	1445222	15528	1.07443700690967
7388	UCLA American Indian Studies Center	3258	35	1.07427869858809
412	Carden Jennings Publishing Co.	1491	16	1.07310529845741
2399	OpenEdition	112968	1210	1.07109978046881
6995	Publishing House ABV Press	1315	14	1.06463878326996
1314	Arachnological Society of Japan	1034	11	1.06382978723404
7780	Geobalcanica Society	188	2	1.06382978723404
531	Pearblossom Private School	94	1	1.06382978723404
2463	Marine Technology Society	1225	13	1.06122448979592
3895	British Academy	2549	27	1.05923891722244
1841	Japan Landslide Society	1794	19	1.05908584169454
3406	Indonesian Society for Microbiology	284	3	1.05633802816901
1577	Radiological Society of North America (RSNA)	61783	649	1.05045077124775
1987	Royal College of General Practitioners	4479	47	1.04934137084171
2149	Telos Press	2495	26	1.04208416833667
1844	RMIT Publishing	192	2	1.04166666666667
4276	Rand Corporation	771	8	1.03761348897536
1892	Korean Neurosurgical Society	1737	18	1.03626943005181
3851	International Digital Organization for Scientific Information (IDOSI)	1451	15	1.03376981392143
3248	The Korean Astronomical Society	1067	11	1.03092783505155
6999	Kastamonu University Journal of Forestry Faculty	194	2	1.03092783505155
2632	The Korean Society of Veterinary Science (KAMJE)	780	8	1.02564102564103
4505	Verlag der Technischen Universitat Graz	587	6	1.0221465076661
162	Royal Pharmaceutical Society	8926	91	1.01949361416088
7892	Impact Journals, LLC	25585	260	1.01622044166504
9441	Museo Argentino de Ciencia Naturales	394	4	1.01522842639594
9217	Agrotropica	197	2	1.01522842639594
4894	World Scholars	198	2	1.01010101010101
4622	Society of Indoor Environment Japan	99	1	1.01010101010101
5128	Revista Latinoamericana de Investigacion en Matematica Educativa (RELIME)	99	1	1.01010101010101
268	Japanese Society of Applied Entomology & Zoology	6257	63	1.00687230302062
5095	National Academic Advising Association (NACADA)	697	7	1.00430416068867
1759	Center for Academic Publications Japan	3286	33	1.00426049908704
1256	Beta Beta Biological Society	399	4	1.00250626566416
5985	Novosibirsk State Pedagogical University	399	4	1.00250626566416
5728	Journal of Humanity	100	1	1
1975	Korean Society of Coloproctology (KAMJE)	703	7	0.995732574679943
3840	Western Journal of Emergency Medicine	1407	14	0.99502487562189
4946	Singapore Medical Journal	1007	10	0.99304865938431
5780	The Korean Brain Tumor Society, The Korean Society for Neuro-Oncology (KAMJE)	101	1	0.99009900990099
2436	Korean Society for Microbiology and Biotechnology	2324	23	0.989672977624785
276	Ovid Technologies (Wolters Kluwer Health)	1818788	17949	0.98686597888264
1775	McFarland and Company, Inc., Publishers	1014	10	0.986193293885602
2475	Korean Association of Orthodontists (KAMJE)	407	4	0.982800982800983
1896	Korean Pain Society (KAMJE)	714	7	0.980392156862745
5617	The Japanese Bird Banding Association	204	2	0.980392156862745
5273	Societa Geologica Italiana	715	7	0.979020979020979
2118	Asian Society of Gynecologic Oncology; Korean Society of Gynecologic Oncology and Colposcopy (KAMJE)	613	6	0.978792822185971
2789	The Society for Antibacterial and Antifungal Agents, Japan	511	5	0.978473581213307
358	Intellect	19941	194	0.972869966400883
2483	Korean Breast Cancer Society (KAMJE)	926	9	0.971922246220302
73	Duke University Press	98780	959	0.970844300465681
635	Zhejiang University Press	5358	52	0.970511384845091
2425	Japan Society of Lipid Nutrition	310	3	0.967741935483871
4014	Deutsche Zeitschrift Fur Sportmedizin/German Journal of Sports Medicine	310	3	0.967741935483871
8541	International Institute of Social and Economic Sciences	414	4	0.966183574879227
7322	Siberian Federal University	1556	15	0.96401028277635
2372	University Library/University of Twente	312	3	0.961538461538462
3766	ABEAT - Associacao Brasileira de Especialistas em Alta Tecnologia	208	2	0.961538461538462
4816	Agial Publishing House	104	1	0.961538461538462
2679	Korean Society of Epidemiology	313	3	0.958466453674121
81	European Respiratory Society (ERS)	26293	252	0.958430000380329
81	European Respiratory Society (ERS)	26415	252	0.954003407155026
4761	Laxmi Book Publication	210	2	0.952380952380952
8276	Korean Comparative Education Society	105	1	0.952380952380952
4223	Edinburgh University Global Health Society	316	3	0.949367088607595
5928	Rutgers University Libraries	1159	11	0.94909404659189
5390	BCS Learning and Development Limited	953	9	0.944386149003148
5473	Korean Society of Ultrasound in Medicine	212	2	0.943396226415094
8022	Revista Brasileira de Inovacao Tecnologica em Saude (R-BITS)	106	1	0.943396226415094
9914	SPRIDA	106	1	0.943396226415094
1039	Tokyo Dental College	425	4	0.941176470588235
2574	Mammal Research Institute	1917	18	0.938967136150235
8037	Izdatelstvo Meditsina	213	2	0.938967136150235
6588	University of Westminster Press	534	5	0.936329588014981
2440	Cardiofront, LLC	214	2	0.934579439252336
8405	UK Journal of Pharmaceutical and Biosciences	214	2	0.934579439252336
4488	Zeta Books	107	1	0.934579439252336
5438	International Journal of Particle Therapy	107	1	0.934579439252336
6923	Wyzsza Szkola Logistyki (Poznan School of Logistics)	107	1	0.934579439252336
8907	Stichting SciPost	107	1	0.934579439252336
334	Japan Society of Histochemistry & Cytochemistry	2676	25	0.93423019431988
301	Informa UK Limited	4404720	41035	0.931614268330336
959	Logical Methods in Computer Science e.V.	752	7	0.930851063829787
5946	Korean Society for Stem Cell Research	215	2	0.930232558139535
3888	Medwave Estudios Limitada	864	8	0.925925925925926
5076	BMFH Press	432	4	0.925925925925926
6099	Robert E. Kennedy Library, Cal Poly	1081	10	0.925069380203515
5194	Sociedad Espanola de Pedagogía	217	2	0.921658986175115
4151	University of Washington Libraries	1526	14	0.91743119266055
925	University of Tokushima Faculty of Medicine	654	6	0.91743119266055
4757	National Institute of Advanced Industrial Science	436	4	0.91743119266055
8763	RAD Association	109	1	0.91743119266055
1484	Mathematical Institute, Tohoku University	2732	25	0.915080527086384
2363	Scientific Research Centre ZRC-SAZU	1422	13	0.914205344585091
2	American Association of Petroleum Geologists AAPG/Datapages	23223	212	0.912888085088059
2119	Korean Endocrine Society (KAMJE)	877	8	0.912200684150513
530	FapUNIFESP (SciELO)	333511	3033	0.909415281654878
6338	GENES	110	1	0.909090909090909
9576	Medina Publishing Ltd.	110	1	0.909090909090909
1442	Swiss Chemical Society	2423	22	0.907965332232769
2758	Genetics and Molecular Research	5968	54	0.904825737265416
3169	Universidad Complutense de Madrid (UCM)	11279	102	0.904335490734994
4893	Russian Psychological Society	554	5	0.902527075812274
1543	American School of Classical Studies at Athens (ASCSA)	1773	16	0.902425267907502
3897	Japan Association of Food Preservation Scientists	999	9	0.900900900900901
2467	Ideas in Ecology and Evolution	111	1	0.900900900900901
2018	Society for Underwater Technology	446	4	0.896860986547085
2839	Middle East Technical University, Faculty of Architecture	223	2	0.896860986547085
1063	Jornal de Pediatria	2235	20	0.894854586129754
7491	Esmon Publicidad, SA	224	2	0.892857142857143
9151	Credo, Ltd.	112	1	0.892857142857143
1297	Japan Association of Mineralogical Sciences	5981	53	0.886139441564956
1726	Bernoulli Society for Mathematical Statistics and Probability	1129	10	0.885739592559787
2986	University of South Florida Libraries	3394	30	0.883912787271656
1941	Leibniz-Institute for Psychology Information (ZPID)	1360	12	0.882352941176471
2883	Medicina Oral, S.L.	2494	22	0.882117080994387
101	Hogrefe Publishing Group	36453	320	0.877842701560914
7226	Pro Ciencia Periodicos Cientificos	228	2	0.87719298245614
9148	Institute of Circulation Pathology	228	2	0.87719298245614
1082	Keio Journal of Medicine	1597	14	0.876643706950532
3088	Turkish Neurological Society	1143	10	0.874890638670166
2904	The Japanese Psychological Association	6637	58	0.873888805183065
3677	Australasian Medical Publishing Co. Pty Ltd. (AMPCo)	3792	33	0.870253164556962
2491	Korean Society for Bioinformatics and Systems Biology	115	1	0.869565217391304
5200	Ege Universitesi Turk Dunyasi Incelemeleri Dergisi	115	1	0.869565217391304
3322	Norwegian University of Science and Technology (NTNU) Library	1266	11	0.868878357030016
3938	Japanese Society of Animal Breeding and Genetics	576	5	0.868055555555556
3304	Michigan Historical Review	346	3	0.867052023121387
2829	Seismological Society of Japan	3820	33	0.863874345549738
2254	Japanese Association for Acute Medicine	1621	14	0.863664404688464
5022	Korean Society of Developmental Biology	233	2	0.858369098712446
4036	PNG Publications	1402	12	0.855920114122682
4371	Baltzer Science Publishers	117	1	0.854700854700855
5594	The Korean Society for History of Mathematics	117	1	0.854700854700855
991	Japan Epidemiological Association	1522	13	0.854139290407359
898	Japanese Society of Toxicology	2585	22	0.851063829787234
4790	Leuven University Press	118	1	0.847457627118644
5277	Borderless Science Publishing	118	1	0.847457627118644
5287	Institute of Public Administration and Politics - Icelandic Review of Politics and Administration	238	2	0.840336134453782
4857	Department of International Relations	119	1	0.840336134453782
317	AIP Publishing	739575	6202	0.838589730588514
793	Springer Publishing Company	8503	71	0.834999411972245
2003	Japanese Association of Forensic Science and Technology	360	3	0.833333333333333
5688	Korean Epilepsy Society	120	1	0.833333333333333
7004	Erciyes Iletisim Dergisi	120	1	0.833333333333333
5070	Journal of Leadership Education	481	4	0.831600831600832
2370	College Publishing	603	5	0.829187396351575
5581	International Journal of Spine Surgery	362	3	0.828729281767956
2937	Korean Dermatological Association and The Korean Society for Investigative Dermatology (KAMJE)	2296	19	0.827526132404181
2942	Tokyo Geographical Society	18489	153	0.827519065390232
4092	Fundacao Faculdade de Medicina	1212	10	0.825082508250825
4186	Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora	1577	13	0.82435003170577
3461	Palacky University Olomouc	2670	22	0.823970037453183
1747	American Dairy Science Association	32530	268	0.823854903166308
253	Project Euclid	6570	54	0.821917808219178
6518	V.I. Shimakov Federal Research Center of Transplantology and Artificial Organs	365	3	0.821917808219178
9191	Materials Research Forum, LLC	365	3	0.821917808219178
4319	Omnipax Editora	122	1	0.819672131147541
9703	Revista Temporalis	122	1	0.819672131147541
4601	JCDR Research and Publications	6124	50	0.816459830176355
3145	Copernicus GmbH	82677	671	0.811592099374675
2222	Journal of Infection in Developing Countries	1726	14	0.811123986095017
163	Pharmaceutical Society of Japan	63117	511	0.809607554224694
6394	Shared Science Publishers OG	371	3	0.808625336927224
1310	American Speech Language Hearing Association	24985	202	0.808485091054633
435	Japan Society of Smooth Muscle Research	1115	9	0.807174887892377
7681	Sultan Qaboos University Medical Journal	496	4	0.806451612903226
1302	Oncology Nursing Society (ONS)	3988	32	0.802407221664995
1748	Berghahn Books	9368	75	0.800597779675491
7025	Moment Journal	125	1	0.8
1187	Geochemical Society of Japan	1881	15	0.797448165869218
3362	AITO - Association Internationale pour les Technologies Objets	879	7	0.796359499431172
384	Commonwealth Forestry Association	881	7	0.794551645856981
4756	The Japanese Society of Pediatric Cardiology and Cardiac Surgery	378	3	0.793650793650794
5044	Entomo Brasilis	378	3	0.793650793650794
3492	International Association for Energy Economics (IAEE)	2272	18	0.792253521126761
2183	Korean Society for Applied Biological Chemistry	506	4	0.790513833992095
3520	American Academy of Orthopaedic Surgeons	2410	19	0.788381742738589
3128	Classical Association of the Middle West and South, Inc (CAMWS)	382	3	0.785340314136126
7443	Institute of Biochemistry	512	4	0.78125
5894	Institute of Europe, Russian Academy of Sciences (IERAS)	256	2	0.78125
8693	UNAM (Norteamerica, Revista Academica del CISAN-UNAM)	128	1	0.78125
3456	Canadian Urological Association Journal	3075	24	0.780487804878049
5556	Michigan State University Press	1802	14	0.776914539400666
5307	Indonesian Institute of Sciences	644	5	0.77639751552795
1782	International Glaciological Society	10316	80	0.775494377665762
5622	The Japan Society of Nuclear and Radiochemical Sciences	258	2	0.775193798449612
4286	Faculty of Economics, VSB Technical University of Ostrava	129	1	0.775193798449612
7822	Test accounts	149337	1155	0.773418509813375
2273	CAIRN	201915	1551	0.768145011514746
4492	Cureus, Inc.	2351	18	0.765631646108039
179	SAGE Publications	2131916	16317	0.765367866276157
7609	Polskie Towarzystwo Biochemiczne (Polish Biochemical Society)	262	2	0.763358778625954
4962	Healthy Aging Research	131	1	0.763358778625954
3846	Masaryk University Press	3409	26	0.7626870049868
735	Thomas Telford Ltd.	58361	444	0.760782029094772
416	Bioscientifica	66423	505	0.760278819083751
5628	Texas Heart Institute Journal	660	5	0.757575757575758
1972	Sociotechnology Research Network (Shakai Gijutsu Kenkyuukai)	264	2	0.757575757575758
3842	Cellule MathDoc/CEDRAM	7674	58	0.755798801146729
5950	Alcohol Research Documentation, Inc.	5163	39	0.755374782103428
8351	Electric	265	2	0.754716981132076
2927	AOTA Press	7556	57	0.75436739015352
8503	Asociacion Castellano-Manchega de Sociologia (ACMS)	399	3	0.75187969924812
4969	Geoscience Australia	133	1	0.75187969924812
1706	Department of Polymer Engineering, Scientific Society of Mechanical Engineering	1067	8	0.749765698219307
8845	Academy of Inventors	267	2	0.749063670411985
4818	CIC Edizioni Internazionali	1204	9	0.747508305647841
4912	Herbert Publications PVT LTD	937	7	0.747065101387407
6605	University of Wales Press/Gwasg Prifysgol Cymru	402	3	0.746268656716418
3287	The Pennsylvania State University Press	9252	69	0.745784695201038
5007	University of Tartu Press	1610	12	0.745341614906832
3523	Slovenian Society for Stereology and Quantitative Image Analysis	405	3	0.740740740740741
245	Chem-Bio Informatics Society	135	1	0.740740740740741
3168	Korean Association for the Study of Intestinal Diseases (KAMJE)	407	3	0.737100737100737
3201	Whiting & Birch, Ltd.	545	4	0.73394495412844
4709	Asociacion Española de Ecologia Terrestre (AEET)	273	2	0.732600732600733
5047	Early Theatre	547	4	0.731261425959781
4316	ISEKI Food Association	137	1	0.72992700729927
7555	Federal State-Financed Educational Institution of Higher Education Moscow State University of Psychology and Education	1097	8	0.72926162260711
7460	Centro de Estudios Politicos y Constitucionales	549	4	0.728597449908925
4153	Adam Mickiewicz University (Euclid)	412	3	0.728155339805825
1783	Swiss Forestry Society	1101	8	0.72661217075386
2057	Szczecinskie Towarzystwo Naukowe	1239	9	0.726392251815981
7696	Uopen Journals	10887	79	0.725636079728116
5334	Xia & He Publishing	276	2	0.72463768115942
3424	Korean Society of Interventional Neuroradiology (KAMJE)	138	1	0.72463768115942
8893	Shima Publishing	138	1	0.72463768115942
7696	Uopen Journals	10914	79	0.723840938244457
2549	PAGEPress Publications	16999	123	0.723571974822048
434	American Academy of Implant Dentistry	1524	11	0.721784776902887
2134	The Japanese Society for Multiphase Flow	833	6	0.720288115246099
2752	Programa de Pos Graduacao em Arquitetura e Urbanismo	139	1	0.719424460431655
4022	Society of Academy of Dermatology in Turkey	139	1	0.719424460431655
137	Pleiades Publishing Ltd	221390	1592	0.719093003297349
2029	Cognizant, LLC	5426	39	0.71876151861408
2953	Institute of Aeronautics and Space	418	3	0.717703349282297
4421	UiT The Arctic University of Norway	3767	27	0.716750730023892
4719	College of Psychiatric and Neurologic Pharmacists (CPNP)	559	4	0.715563506261181
3682	Croatian Sociological Association	140	1	0.714285714285714
6951	Cogitatio	702	5	0.712250712250712
623	Division of Functional Equations, The Mathematical Society of Japan (JST)	281	2	0.711743772241993
2320	Japan Society for Oriental Medicine	1546	11	0.711513583441138
7096	Methaodos.revista de ciencias sociales	141	1	0.709219858156028
3061	Termedia Sp. z.o.o.	8604	61	0.708972570897257
1362	Japanese Society of Animal Psychology	851	6	0.705052878965923
4268	Asian Pacific Organization for Cancer Prevention	6105	43	0.704340704340704
3441	Korean Society for Mass Spectrometry	142	1	0.704225352112676
6950	Faculty of Humanities and Social Sciences, University of Zagreb	142	1	0.704225352112676
7178	Croatian Operational Research Society	142	1	0.704225352112676
7342	Tobacco Regulatory Science Group	142	1	0.704225352112676
3230	Queensland University of Technology	1285	9	0.700389105058366
1529	Mathematical Society of Japan (Project Euclid)	3428	24	0.700116686114352
2325	Royal Institution of Naval Architects	143	1	0.699300699300699
4054	Marine Biological Association of India	143	1	0.699300699300699
1713	The Japanese Society of Fish Pathology	1721	12	0.697269029633934
6469	Ural Federal University	1004	7	0.697211155378486
845	Journal of Bone and Joint Surgery	26168	182	0.69550596147967
9097	ILIRIA International Review (IIR)	288	2	0.694444444444444
5218	Lithuanian Research Centre for Agriculture and Forestry	288	2	0.694444444444444
4115	The Korean Society of Menopause (KAMJE)	144	1	0.694444444444444
5372	VRI Press	144	1	0.694444444444444
7489	International Journal of Intelligent Systems and Applications in Engineering	144	1	0.694444444444444
2838	Academy Publisher	2746	19	0.691915513474144
4898	Korean Association of Physical Anthropologists (KAMJE)	723	5	0.691562932226833
418	Osterreichische Akademie der Wissenschaften	5063	35	0.691289749160577
2795	American Society of Tropical Medicine and Hygiene	16651	115	0.690649210257642
3707	Cornell SEAP	145	1	0.689655172413793
2230	Philippines Journals Online (PhilJOL)	1168	8	0.684931506849315
5909	Pakistan Journal of Chemistry	146	1	0.684931506849315
8505	ACCB Publishing	146	1	0.684931506849315
1664	Japanese Environmental Mutagen Society	293	2	0.68259385665529
4947	International Scientific Information, Inc.	5570	38	0.682226211849192
1616	Agricultural History Society	882	6	0.680272108843537
7927	Scientific Advances Publishers	294	2	0.680272108843537
6935	Turkish Journal of Field Crops	147	1	0.680272108843537
9731	Royal Microscopical Society	147	1	0.680272108843537
2988	Korean Society of Hematology; Korean Society of Blood and Marrow Transplantation	737	5	0.67842605156038
3476	Geological Survey of Slovenia	737	5	0.67842605156038
2697	Japanese Society of Veterinary Clinics	443	3	0.677200902934537
863	Japan Society of Physiological Anthropology	1184	8	0.675675675675676
5514	Associacao Nacional de Programas de Pos-Graduacao em Ciencias Contabeis (ANPCONT)	148	1	0.675675675675676
7944	Ithaka S&R	148	1	0.675675675675676
3318	Zeppelini Editorial e Comunicacao	894	6	0.671140939597315
2521	Chonnam National University Medical School (KAMJE)	298	2	0.671140939597315
7112	Institute of Polish Language	149	1	0.671140939597315
6672	The University of Kansas	3734	25	0.669523299410819
4211	University of Warsaw, Faculty of Management	450	3	0.666666666666667
4099	Korean Council of Science Editors	150	1	0.666666666666667
271	Japanese Society of Breeding	3602	24	0.666296501943365
171	Royal College of Surgeons of England	9306	62	0.666236836449602
3463	Journal of Hebrew Scriptures	752	5	0.664893617021277
122	Japanese Society of Veterinary Science	15819	105	0.663758771098047
913	Alexandrine Press	603	4	0.66334991708126
8729	Institute of Philosophy, Russian Academy of Sciences	151	1	0.662251655629139
4438	Pacific University Library	1360	9	0.661764705882353
962	Japanese Society of Internal Medicine	29649	196	0.661067826908159
4038	Brewing Society of Japan	15136	100	0.660676532769556
2902	International Press of Boston	14252	94	0.65955655346618
1709	Ediciones Profesionales de la Informacion SL	1975	13	0.658227848101266
1444	Japanese Society of Veterinary Dermatology	304	2	0.657894736842105
4965	Scalable Computing: Practice and Experience	152	1	0.657894736842105
1332	National Institute of Industrial Health	2586	17	0.65738592420727
285	The Optical Society	249616	1639	0.656608550733927
7240	United Scientific Group	153	1	0.65359477124183
8080	African Journal of Food, Agriculture, Nutrition and Development	153	1	0.65359477124183
2997	Korean Academy of Periodontology (KAMJE)	1225	8	0.653061224489796
5289	Pluto Journals	1381	9	0.651701665459812
4242	Consortium of Multiple Sclerosis Centers	614	4	0.651465798045603
4915	CILIP Information Literacy Group	307	2	0.651465798045603
2058	Rocky Mountain Mathematics Consortium	4932	32	0.64882400648824
3325	International Water Management Institute (IWMI)	309	2	0.647249190938511
1333	Japan Wood Society	464	3	0.646551724137931
2874	Japanese Society of Nutrition and Food Science	4029	26	0.645321419707123
5230	The Korea Society of Environmental Restoration Technology	310	2	0.645161290322581
7372	University of Dubrovnik	155	1	0.645161290322581
2132	Virtual Explorer Pty Ltd.	312	2	0.641025641025641
4933	Japanese Society for Histocompatibility and Immunogenetics	157	1	0.636942675159236
2567	Korean Diabetes Association (KAMJE)	1105	7	0.633484162895928
1988	BSI British Standards	158	1	0.632911392405063
5887	Foundation for the Promotion and Accreditation of Economic Education	158	1	0.632911392405063
7838	Centro de Investigaciones y Publicaciones Farmaceuticas (CIPF)	158	1	0.632911392405063
433	Research Information Ltd.	1109	7	0.631199278629396
5051	Hong Kong Academy of Medicine Press	793	5	0.630517023959647
3656	American Academy of Sleep Medicine (AASM)	1429	9	0.629811056682995
63	Clay Minerals Society	4290	27	0.629370629370629
2213	University of Defence	477	3	0.628930817610063
3382	Oregon State University	318	2	0.628930817610063
3727	Korean Society of Medical Genetics	159	1	0.628930817610063
8554	Associacao de Investigadores da Imagem em Movimento	159	1	0.628930817610063
1959	Linkoping University Electronic Press	3183	20	0.628338045868677
8945	Rhodes University	958	6	0.626304801670146
2271	Institutional Investor Journals	10432	65	0.623082822085889
6167	Faculty of Teacher Education, University of Zagreb	321	2	0.623052959501558
2110	Theory in Action	322	2	0.62111801242236
5725	Internet Society	322	2	0.62111801242236
2595	The Korean Urological Association (KAMJE)	1934	12	0.62047569803516
381	ASTM International	22080	137	0.620471014492754
1860	Atomic Energy Society of Japan	4681	29	0.619525742362743
4211	University of Warsaw	486	3	0.617283950617284
314	Acoustical Society of Japan	1945	12	0.616966580976864
5328	Wayne State University Press	1459	9	0.616860863605209
1715	Dietitians of Canada	652	4	0.613496932515337
6718	Indian National Science Academy	655	4	0.610687022900763
4627	Japan Society of Sarcoidosis and Other Granulomatous Disorders	328	2	0.609756097560976
8003	NPS MedicineWise	2633	16	0.607671857197114
5176	University of Iowa Libraries	1319	8	0.606520090978014
3364	American Society of International Law	1981	12	0.60575466935891
2427	Japanese Society for Dental Materials and Devices	2147	13	0.605496040987424
