id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia 	prefixes
1950	Journal of Vector Ecology	27	7	25.9259259259259	10.3376
9954	IPO Association of Transplantologists	36	9	25	10.23873
4531	Adenine Press, Inc.	16	4	25	10.7785
2726	Smith School of Enterprise and the Environment	4	1	25	10.4210
1210	Academy of Natural Sciences of Philadelphia	197	49	24.8730964467005	10.1635
164	Pion Ltd	1287	318	24.7086247086247	10.1068
11409	Coquina Press	249	61	24.4979919678715	10.26879
3321	IP Publishing, Ltd.	97	23	23.7113402061856	10.5367
2066	Biological Survey Foundation	51	12	23.5294117647059	10.3752
575	American Society of Plant Taxonomists	1318	297	22.5341426403642	10.1600
2274	Grupo Comunicar	561	123	21.9251336898396	10.3916
2952	Scholarpedia	975	206	21.1282051282051	10.4249
4996	Quanta	38	8	21.0526315789474	10.12743
2884	American Society of Limnology and Oceanography, Inc.	1377	278	20.1888162672476	10.4319
8627	The Forest Herbarium	20	4	20	10.20531
6547	Fragmenta Palaeontologica Hungarica	10	2	20	10.17111
9999	Distill Working Group	10	2	20	10.23915
1389	The Paleontological Society of Japan	422	84	19.9052132701422	10.2517
1199	WormBook	202	40	19.8019801980198	10.1895
1217	American Ornithologists' Union	1737	343	19.7466896948762	10.1642
2220	Chelonian Research Foundation	132	26	19.6969696969697	10.3854
1379	Pacific Northwest Fungi Project	112	22	19.6428571428571	10.2509
828	American Academy of Periodontology (AAP)	730	143	19.5890410958904	10.1902
2241	Inter-university Consortium for Political and Social Research (ICPSR)	87	17	19.5402298850575	10.3886
359	Journal of Histochemistry & Cytochemistry (The Histochemical Society)	360	69	19.1666666666667	10.1369
5447	XML London	68	13	19.1176470588235	10.14337
8347	HSSA Journal	16	3	18.75	10.18732
7933	Association Palaeovertebrata	103	19	18.4466019417476	10.18563
1096	IUCN	116793	21290	18.2288322074097	10.2305
16043	Ukrainian Pulmonary Journal	11	2	18.1818181818182	10.31215
1698	Czech Geological Survey	619	110	17.7705977382876	10.3140
559	International Reading Association	289	51	17.6470588235294	10.1598
1571	The Biological Society of Washington	562	99	17.6156583629893	10.2988
327	IM Publications Open LLP	108	19	17.5925925925926	10.1255
4535	Istituto Superiore di Sanita	40	7	17.5	10.4415
2084	Naturalis Biodiversity Center	719	124	17.2461752433936	10.3767
3692	Asociacion Paleontologica Argentina	492	82	16.6666666666667	10.20313, 10.5710
625	Signaling Pathways Project	97	16	16.4948453608247	10.1621
2422	Annals of Mathematics, Princeton U	966	156	16.1490683229814	10.4007
7504	World Tourism Organization (UNWTO)	87	14	16.0919540229885	10.18111
3569	International Mycological Association (IMA)	200	32	16	10.5598
5937	Institut Agama Islam Negeri (IAIN) Bengkulu	25	4	16	10.15274
8170	Discrete Analysis	25	4	16	10.19086
1218	American Society of Ichthyologists and Herpetologists (ASIH)	2194	344	15.6791248860529	10.1643
1230	Herpetologists League	902	141	15.6319290465632	10.1655
3904	Museum National D'Histoire Naturelle	417	65	15.5875299760192	10.5852
4212	Digital Preservation Coalition	26	4	15.3846153846154	10.7207
8319	Siberian Research Institute of Geology, Geophysics and Mineral Resources	13	2	15.3846153846154	10.20403
2013	Missouri Botanical Garden Press	1211	185	15.2766308835673	10.3417
2397	Institute of Malacology	223	34	15.2466367713004	10.4002
2776	Lumitext Publishing	20	3	15	10.4255
1565	East African Natural History Society	274	41	14.963503649635	10.2982
3213	Mycotaxon, Ltd.	1620	238	14.6913580246914	10.5248
28	American Society for Biochemistry & Molecular Biology (ASBMB)	112438	16409	14.5938205944609	10.1194, 10.1074
3209	Museum National d'Histoire Naturelle, Paris, France	892	130	14.5739910313901	10.5252
242	CABI Publishing	2203	320	14.5256468452111	10.12774, 10.1079
1989	Co-Action Publishing	996	140	14.0562248995984	10.3402, 10.4176, 10.17585
3711	Natal Museum of South Africa	245	34	13.8775510204082	10.5733
1618	Herpetological Society of Japan	94	13	13.8297872340426	10.3105
1211	American Arachnological Society	1089	146	13.406795224977	10.1636
2398	American Malacological Society	330	44	13.3333333333333	10.4003
4827	Council for British Archaeology	579	76	13.126079447323	10.11141
1619	Mammalogical Society of Japan	555	72	12.972972972973	10.3106
818	Conservation International	551	70	12.7041742286751	10.1896
8199	Wildlife Conservation Society	8	1	12.5	10.19121
1264	Ursus	302	37	12.2516556291391	10.2192
191	Swets & Zeitlinger Publishers	1990	243	12.2110552763819	10.1076
341	Proceedings of the National Academy of Sciences	137263	16656	12.1343697864683	10.1073
11191	4Science	174	21	12.0689655172414	10.4401
3081	Chinese Birds (Press)	133	16	12.0300751879699	10.5122
1942	Botanic Garden & Botanical Museum Berlin-Dahlem BGBM	1056	127	12.0265151515152	10.3372
22	Annual Reviews	45009	5239	11.6398942433735	10.1146
2534	Sociedade Brasileira de Paleontologia	465	54	11.6129032258065	10.4072
3642	Southern Med Review	18	2	11.1111111111111	10.5655
3799	The Journal of Bioscience and Medicine	9	1	11.1111111111111	10.5780
5609	Surname DNA Journal	9	1	11.1111111111111	10.14487
1952	Human Biology (The International Journal of Population Biology and Genetics)	343	37	10.7871720116618	10.3378
1567	Pacific Science	476	51	10.7142857142857	10.2984
6560	Queensland Museum	28	3	10.7142857142857	10.17082
10018	Foldtani Kozlony	19	2	10.5263157894737	10.23928
5831	Society for Sociological Science	96	10	10.4166666666667	10.15195
1244	Society for Integrative and Comparative Biology	218	22	10.0917431192661	10.1668
1688	Sherborne Gibbs Ltd.	119	12	10.0840336134454	10.3132
2267	Green Theory and Praxis: The Journal of Ecopedagogy	10	1	10	10.3903
9813	Baldwin Wallace University	10	1	10	10.22513
10332	Register of Qualified Genealogists	10	1	10	10.24240
10828	Advances Publishing Co, Ltd.	10	1	10	10.25196
404	BioOne	772	76	9.84455958549223	10.12952, 10.1199, 10.7872
1245	Society for the Study of Amphibians and Reptiles	1518	146	9.61791831357049	10.1670
10966	European Association of Cardiothoracic Surgery (EACTS Publishing Ltd)	350	33	9.42857142857143	10.1510
175	The Royal Society	85973	8065	9.38085212799367	10.1098
1606	Harvard University Botany Libraries	352	33	9.375	10.3100
5445	HAU, Journal of Ethnographic Theory	32	3	9.375	10.14318
1076	American Society for Cell Biology (ASCB)	10421	958	9.19297572209961	10.1187, 10.1091
7816	ICSC Press, International Center for Studies in Creativity	11	1	9.09090909090909	10.18536
421	The Society for the Study of Evolution	1838	166	9.03155603917301	10.1554
2461	SASE (Society for Sustainable Environment)	89	8	8.98876404494382	10.4029
1967	Regional Euro-Asian Biological Invasions Centre Oy (REABIC)	1291	113	8.75290472501936	10.3391
9595	Center for the Study of Material and Visual Cultures of Religion	80	7	8.75	10.22332
1429	Kansas Entomological Society	668	58	8.68263473053892	10.2317
2671	Mathematical Association of America	1353	117	8.64745011086474	10.4169
345	Microbiology Society	59656	5157	8.64456215636315	10.1099
1568	Cactus and Succulent Society of America	857	74	8.63477246207701	10.2985
1251	Wilson Ornithological Society	2110	182	8.62559241706161	10.1676
2218	Australian Museum	1641	141	8.59232175502742	10.3853
11	American Economic Association	9253	772	8.34324003026046	10.1257
4512	Russell Sage Foundation	120	10	8.33333333333333	10.7758
5836	Instituto Brasileiro de Inovacao Financeira - IBRIF	12	1	8.33333333333333	10.15194
8969	Acta Universitatis Gothoburgensis	12	1	8.33333333333333	10.21524
8969	Acta Universitatis Gothoburgensis	12	1	8.33333333333333	10.21524
4913	Magnolia Press	21712	1807	8.3225865880619	10.11646
2390	U.S. Fish and Wildlife Service	533	44	8.25515947467167	10.3996
638	Alphamed Press	3553	291	8.19026175063327	10.1634, 10.5966
1250	Waterbird Society	1262	103	8.16164817749604	10.1675
1236	Kansas Academy of Science	576	47	8.15972222222222	10.1660
859	GeoScienceWorld	4634	377	8.13552006905481	10.2113
2258	Pensoft Publishers	18870	1490	7.89613142554319	10.15560, 10.3897
1745	Museum and Institute of Zoology at the Polish Academy of Sciences	3024	235	7.77116402116402	10.3161
36	American Society for Pharmacology & Experimental Therapeutics (ASPET)	17770	1376	7.74338773213281	10.1124
4618	Central European University Press	39	3	7.69230769230769	10.7829
4299	Science Journal Publications	13	1	7.69230769230769	10.7237
10369	Open Access Scholarly Publishers Association (OASPA)	13	1	7.69230769230769	10.24282
10378	Revista Remecs - Revista Multidisciplinar de Estudos Cientificos em Saude	13	1	7.69230769230769	10.24281
526	Aquatic Mammals Journal	831	62	7.46089049338147	10.1578
961	Cornell Laboratory of Ornithology	1628	121	7.43243243243243	10.2173
8858	Suomalaisen Kirjallisuuden Seura	54	4	7.40740740740741	10.21435
1822	Centers for Disease Control and Prevention (CDC)	11526	852	7.39198334200937	10.15620, 10.3201, 10.5888
2824	Entomological Society of Washington	683	50	7.32064421669107	10.4289
2826	Freshwater Biological Association (BioOne sponsored)	82	6	7.31707317073171	10.1608, 10.4290
7981	Actual Problems of Theory and History of Art	96	7	7.29166666666667	10.18688
1361	University of Zagreb - University Computing Centre	55	4	7.27272727272727	10.2498
1593	Brazilian Herpetological Society	331	24	7.25075528700906	10.2994
4175	Journal of Graph Algorithms and Applications	442	32	7.23981900452489	10.7155
353	Sigma Xi	2293	166	7.2394243349324	10.1511
3056	Historians of Netherlandish Art	125	9	7.2	10.5092
1161	Ornithological Society of Japan	405	29	7.16049382716049	10.2326
2593	Japan Society for Lactic Acid Bacteria	182	13	7.14285714285714	10.4109
7217	Mobilization Journal	70	5	7.14285714285714	10.17813
2991	Biologic Institute	28	2	7.14285714285714	10.5048
12166	Uluslararasi Ticaret ve Ekonomi Arastirmalari Dergisi	14	1	7.14285714285714	10.30711
1240	New York Entomological Society	332	23	6.92771084337349	10.1664
1592	Society of Ethnobiology	334	23	6.88622754491018	10.2993
237	The Company of Biologists	28519	1953	6.84806620147972	10.1242
1224	Coleopterists Society	1600	109	6.8125	10.1649
1225	Cooper Ornithological Society	2009	136	6.76953708312593	10.1650
