langfile:page_id	page_title	rev_id	timestamp	type	id
cswiki.tsv:1317715	Europatitan	15236777	2017-08-12T15:14:10Z	doi	10.7717/peerj.3409
cswiki.tsv:1317873	Vouivria	15238322	2017-08-13T14:15:42Z	doi	10.7717/peerj.3217
cswiki.tsv:1329679	Polyptychodon	15694493	2017-12-30T20:33:17Z	doi	10.7717/peerj.1998
cswiki.tsv:1333713	Cleveland-Lloyd Dinosaur Quarry	15500068	2017-10-24T18:10:04Z	doi	10.7717/peerj.3368
cswiki.tsv:1344275	Kunpengopterus	15613969	2017-12-04T09:19:39Z	doi	10.7717/peerj.4102
cswiki.tsv:1353927	Vlivy globálního oteplování na lidi	15713865	2018-01-05T17:02:12Z	doi	10.7717/peerj.55
cswiki.tsv:1355911	Diluvicursor	15737180	2018-01-12T08:09:02Z	doi	10.7717/peerj.4113
cswiki.tsv:1358671	Buitreraptor	15773005	2018-01-23T08:52:39Z	doi	10.7287/peerj.preprints.26450v1
dewiki.tsv:426231	Diplodocidae	141047838	2015-04-21T05:43:52Z	doi	10.7717/peerj.857
dewiki.tsv:426234	Ankylosauria	148887526	2015-12-09T05:50:13Z	doi	10.7717/peerj.1475
dewiki.tsv:276225	Japanische Riesenkrabbe	152405110	2016-03-11T14:21:48Z	doi	10.7717/peerj.715
dewiki.tsv:250155	Sumatra-Nashorn	164373829	2017-04-08T21:50:01Z	doi	10.7717/peerj.3033
dewiki.tsv:426419	Parasaurolophus	123719411	2013-10-23T06:12:36Z	doi	10.7717/peerj.182
dewiki.tsv:1203927	Weißer Hai	140366014	2015-03-28T22:33:39Z	doi	10.7717/peerj.715
dewiki.tsv:252078	Roundup	160133170	2016-11-27T18:58:41Z	doi	10.7717/peerj.2641
dewiki.tsv:340664	Spießhirsche	156976654	2016-08-13T10:25:15Z	doi	10.7717/peerj.2307
dewiki.tsv:1352109	Stupendemys	169004410	2017-09-12T04:25:03Z	doi	10.7717/peerj.715
dewiki.tsv:1283857	Graumulle	165099539	2017-05-02T05:54:27Z	doi	10.7717/peerj.3214
dewiki.tsv:67971	Lebendes Fossil	157094729	2016-08-16T16:06:15Z	doi	10.7717/peerj.2320
dewiki.tsv:1432068	Regalecus glesne	141422164	2015-04-23T13:49:22Z	doi	10.7717/peerj.715
dewiki.tsv:128589	Diplodocus	140664129	2015-04-08T04:50:56Z	doi	10.7717/peerj.857
dewiki.tsv:1752467	Hatzegopteryx	162156185	2017-01-30T20:37:40Z	doi	10.7717/peerj.2908"
dewiki.tsv:1752467	Hatzegopteryx	162156185	2017-01-30T20:37:40Z	doi	10.7717/peerj.2908
dewiki.tsv:1752467	Hatzegopteryx	162156185	2017-01-30T20:37:40Z	doi	10.7717/peerj.2908">{{cite
dewiki.tsv:354686	Chirotherium	146357052	2015-09-24T12:17:24Z	doi	10.7717/peerj.1044
dewiki.tsv:1044042	Kröten	171947849	2017-12-13T16:22:35Z	doi	10.7717/peerj.1553
dewiki.tsv:266217	Apatosaurus	140651018	2015-04-07T16:21:44Z	doi	10.7717/peerj.857
dewiki.tsv:267194	Brontosaurus	141421373	2015-04-23T13:23:08Z	doi	10.7717/peerj.857
dewiki.tsv:83405	Lippen-Kiefer-Gaumenspalte	151600282	2016-02-17T11:16:21Z	doi	10.7717/peerj.1620
dewiki.tsv:34793	Australopithecus afarensis	141760697	2015-05-04T12:07:14Z	doi	10.7717/peerj.925
dewiki.tsv:1313964	Reportergen	170553266	2017-11-01T18:07:08Z	doi	10.7717/peerj.2269
dewiki.tsv:293650	Hirsche	156974861	2016-08-13T09:12:03Z	doi	10.7717/peerj.2307
dewiki.tsv:898122	Glanzfischartige	141458458	2015-04-24T19:19:37Z	doi	10.7717/peerj.715
dewiki.tsv:275070	Rattenkängurus	169711386	2017-10-05T18:03:57Z	doi	10.7717/peerj.805
dewiki.tsv:4733	Statistische Signifikanz	167235095	2017-07-13T16:29:35Z	doi	10.7717/peerj.3544
dewiki.tsv:156031	Tenreks	167522725	2017-07-23T17:45:40Z	doi	10.7717/peerj.927
dewiki.tsv:2003443	Prinz-Alfred-Hirsch	156976375	2016-08-13T10:13:01Z	doi	10.7717/peerj.2307
dewiki.tsv:89350	Riesenkalmar	140366188	2015-03-28T22:42:24Z	doi	10.7717/peerj.715
dewiki.tsv:89915	Wollnashorn	164373712	2017-04-08T21:44:23Z	doi	10.7717/peerj.3033
dewiki.tsv:824460	Pachypodium	138964655	2015-02-18T12:32:47Z	doi	10.7717/peerj.70
dewiki.tsv:14511	Freie Software	145449053	2015-08-27T06:07:36Z	doi	10.7287/peerj.preprints.1233v1
dewiki.tsv:574632	True-Wal	163363562	2017-03-07T15:35:58Z	doi	10.7717/peerj.3059
dewiki.tsv:2972937	Harlekingarnele	169454532	2017-09-26T18:14:57Z	doi	10.7717/peerj.1167
dewiki.tsv:40130	Amazonenpapageien	166801416	2017-06-28T16:59:38Z	doi	10.7717/peerj.3475
dewiki.tsv:796971	Riemenfische	141422372	2015-04-23T13:57:10Z	doi	10.7717/peerj.715
dewiki.tsv:10245059	Langobardisaurus	174432060	2018-02-27T03:55:38Z	doi	10.7717/peerj.1778
